transaction_id,amount_usd,merchant_category,card_type,auth_method,channel,device_type,account_balance_usd,cvv_retry_count,velocity_score,merchant_risk_score,time_of_day_hour,day_of_week,error_text,category,retry_action_taken,delay_before_retry_min,outcome
txn_12567,113.34,Groceries,Mastercard,3D Secure,Online,iPhone,4547.29,1,8.6,48.7,5,5,TXN_FAILED: Insufficient balance in account,insufficient_funds,retry_upi,0,recovered
txn_05253,22.63,Online Retail,RuPay,OTP,Contactless,Windows PC,4422.53,0,22.7,40.7,12,0,Gateway unreachable - network failure,network_error,retry_wallet,30,recovered
txn_19394,252.18,Online Retail,RuPay,Biometric,Online,Android Phone,355.73,0,10.4,44.8,13,1,ISO8583 message parsing error,network_error,retry_wallet,0,recovered
txn_16797,28.37,Fuel,Visa,PIN,Online,Windows PC,5923.02,1,31.7,43.4,10,6,ISO8583 message parsing error,network_error,no_retry,30,failed_again
txn_08095,105.4,Online Retail,Visa,OTP,POS,iPhone,3972.84,0,23.3,36.6,10,2,Transaction blocked - suspicious activity detected,risk_block,delay_2hr_retry,360,failed_again
txn_00323,185.41,Gaming,Visa,PIN,ATM,Android Phone,358.91,2,32.9,67.7,13,1,OTP verification failed - incorrect code entered,otp_fail,no_retry,30,failed_again
txn_09924,6.23,Online Retail,Mastercard,No Authentication,Online,Windows PC,7090.45,0,1.0,43.2,7,0,TXN_FAILED: Insufficient balance in account,insufficient_funds,retry_upi,0,recovered
txn_07460,691.42,Electronics,Visa,Biometric,In-App,Tablet,363.22,0,10.3,42.3,15,2,Decline code 51: Not enough balance,insufficient_funds,delay_2hr_retry,120,recovered
txn_19025,49.57,Fuel,RuPay,3D Secure,POS,Android Phone,1117.13,0,4.6,5.3,19,0,Connection timeout during authorization,bank_timeout,retry_upi,360,recovered
txn_17554,265.49,Crypto Exchange,Amex,OTP,Contactless,Android Phone,1141.62,0,0.0,49.4,20,2,Gateway unreachable - network failure,network_error,retry_upi,120,failed_again
txn_09120,226.38,Online Retail,Visa,OTP,In-App,Android Phone,1766.24,0,23.1,20.5,6,1,Card expired - decline code 54,card_expired,retry_upi,120,failed_again
txn_16422,14.68,Groceries,Visa,Biometric,Online,Tablet,1057.32,0,14.5,38.6,20,4,Available balance too low for this transaction,insufficient_funds,no_retry,360,failed_again
txn_16061,63.33,Restaurants,Mastercard,Biometric,POS,iPhone,2986.67,0,33.4,41.2,8,0,ISO8583 message parsing error,network_error,no_retry,360,failed_again
txn_10121,79.66,Travel,RuPay,PIN,In-App,ATM Machine,3626.82,0,23.3,37.9,11,5,Bank server did not respond in time,bank_timeout,retry_same_card,30,recovered
txn_19056,231.54,Restaurants,RuPay,PIN,Contactless,Windows PC,1098.12,0,19.0,17.0,1,3,Gateway unreachable - network failure,network_error,no_retry,0,failed_again
txn_03650,75.34,Utilities,RuPay,3D Secure,Online,POS Terminal,2191.7,0,17.9,22.6,6,4,Gateway unreachable - network failure,network_error,no_retry,120,failed_again
txn_03942,39.77,Groceries,Mastercard,PIN,Online,iPhone,1864.02,1,2.5,30.2,1,4,Card expired - decline code 54,card_expired,retry_same_card,120,failed_again
txn_17881,17.09,Groceries,Visa,3D Secure,POS,iPhone,1237.02,0,8.0,24.4,10,1,Decline code 51: Not enough balance,insufficient_funds,retry_same_card,120,failed_again
txn_16676,13.37,Fuel,Mastercard,Biometric,POS,Android Phone,2035.95,0,30.0,42.7,2,2,Do Not Honour - Bank declined due to risk parameters,risk_block,retry_upi,360,failed_again
txn_12631,490.91,Online Retail,Mastercard,PIN,ATM,Android Phone,1294.43,0,17.1,36.5,8,2,Connection timeout during authorization,bank_timeout,no_retry,30,failed_again
txn_11444,59.19,Restaurants,Visa,OTP,Online,Tablet,2277.39,0,5.6,26.7,6,5,"Card no longer valid, expiry passed",card_expired,retry_same_card,120,failed_again
txn_12158,881.26,Travel,RuPay,3D Secure,In-App,iPhone,9704.0,0,17.7,21.7,15,1,3DS authentication timeout after 30s,otp_fail,retry_upi,120,failed_again
txn_13836,38.65,Restaurants,Visa,PIN,Online,Tablet,1150.26,0,11.7,44.1,23,5,TXN_FAILED: Insufficient balance in account,insufficient_funds,no_retry,120,failed_again
txn_03435,12.25,Online Retail,RuPay,OTP,Online,Android Phone,1494.03,0,32.8,32.3,3,4,Network error - request could not be completed,network_error,retry_wallet,120,recovered
txn_18740,492.42,Travel,Visa,Biometric,In-App,iPhone,250.43,0,6.0,57.2,20,6,Do Not Honour - Insufficient funds,insufficient_funds,retry_same_card,30,recovered
txn_17408,335.73,Healthcare,RuPay,PIN,ATM,Windows PC,2860.13,0,19.3,36.8,14,6,NPCI: UPI PIN retries exceeded,otp_fail,retry_same_card,360,recovered
txn_15441,5.84,Streaming,Visa,Biometric,Online,Android Phone,13683.71,0,24.8,26.1,10,3,3DS authentication timeout after 30s,otp_fail,retry_upi,360,failed_again
txn_10407,52.3,Electronics,Mastercard,3D Secure,Online,Mac,2147.07,1,25.0,54.8,3,6,Card flagged for review - high risk score,risk_block,retry_upi,120,failed_again
txn_06518,14.85,Utilities,Visa,No Authentication,POS,Android Phone,1258.25,0,39.0,39.2,1,3,Gateway unreachable - network failure,network_error,retry_upi,30,recovered
txn_00972,15.85,Fuel,Amex,No Authentication,Contactless,Android Phone,1991.81,0,2.5,21.3,13,1,Available balance too low for this transaction,insufficient_funds,retry_wallet,360,recovered
txn_16488,453.17,Travel,Visa,PIN,Online,Android Phone,4522.26,2,2.9,30.1,4,1,Customer authentication failed - OTP mismatch,otp_fail,retry_same_card,30,recovered
txn_19731,96.22,Gaming,Visa,PIN,ATM,Android Phone,1906.28,0,15.1,50.6,9,0,Transaction blocked - suspicious activity detected,risk_block,retry_same_card,120,failed_again
txn_13138,11.18,Fuel,Visa,Biometric,Online,iPhone,274.01,0,0.0,21.8,9,2,Gateway timeout - issuing bank unreachable,bank_timeout,no_retry,30,failed_again
txn_03670,32.59,Utilities,Mastercard,No Authentication,Online,Android Phone,1390.96,0,23.5,48.2,3,1,Bank server did not respond in time,bank_timeout,retry_upi,0,failed_again
txn_15984,2085.21,Travel,Amex,PIN,POS,Tablet,2772.67,1,2.0,29.8,10,0,OTP verification failed - incorrect code entered,otp_fail,retry_same_card,30,failed_again
txn_04059,21.28,Fuel,Visa,3D Secure,POS,ATM Machine,1201.78,0,14.1,22.9,8,0,"Issuer server not responding, request expired",bank_timeout,retry_upi,30,recovered
txn_14977,26.43,Gaming,Amex,3D Secure,In-App,Tablet,4923.24,0,37.4,55.1,7,1,Available balance too low for this transaction,insufficient_funds,retry_upi,360,failed_again
txn_15699,24.56,Fuel,Discover,3D Secure,In-App,Windows PC,3684.61,0,2.4,26.4,5,5,3DS authentication timeout after 30s,otp_fail,retry_same_card,0,recovered
txn_13830,21.35,Travel,Visa,No Authentication,Online,POS Terminal,527.5,0,30.9,35.7,18,3,Decline code 51: Not enough balance,insufficient_funds,delay_2hr_retry,360,recovered
txn_13420,71.13,Groceries,Mastercard,OTP,ATM,Windows PC,1580.08,0,13.3,13.7,18,1,Do Not Honour - Bank declined due to risk parameters,risk_block,retry_same_card,0,recovered
txn_00961,16.99,Groceries,Amex,OTP,Online,Android Phone,2905.22,2,22.9,34.8,15,2,NPCI: UPI PIN retries exceeded,otp_fail,delay_2hr_retry,120,recovered
txn_17745,28.36,Streaming,Visa,3D Secure,Contactless,POS Terminal,3956.75,0,29.3,23.0,7,3,NPCI: UPI PIN retries exceeded,otp_fail,retry_upi,30,recovered
txn_09865,91.75,Groceries,Mastercard,3D Secure,POS,Tablet,6506.74,0,14.5,30.4,15,5,"Issuer server not responding, request expired",bank_timeout,retry_upi,360,recovered
txn_11264,202.95,Groceries,Amex,PIN,Contactless,Tablet,387.76,0,0.0,32.4,19,3,"Issuer server not responding, request expired",bank_timeout,retry_upi,0,failed_again
txn_15783,71.93,Groceries,Mastercard,OTP,Online,Windows PC,1694.13,0,9.1,23.3,22,6,Network error - request could not be completed,network_error,retry_same_card,0,recovered
txn_17197,1376.26,Crypto Exchange,Discover,PIN,POS,POS Terminal,5761.02,0,50.0,88.5,15,5,Transaction blocked - suspicious activity detected,risk_block,retry_upi,30,failed_again
txn_07555,35.07,Fuel,Visa,3D Secure,Contactless,Windows PC,974.14,0,28.0,31.2,23,4,Gateway unreachable - network failure,network_error,retry_upi,360,recovered
txn_10499,8.82,Gaming,Discover,3D Secure,POS,POS Terminal,909.25,0,4.1,78.9,5,2,3DS authentication timeout after 30s,otp_fail,delay_2hr_retry,0,recovered
txn_17060,35.2,Groceries,Mastercard,OTP,In-App,ATM Machine,899.81,0,12.3,22.8,12,6,Expiry date validation failed,card_expired,delay_2hr_retry,120,failed_again
txn_17929,233.77,Travel,Visa,Biometric,Online,POS Terminal,2796.85,0,12.6,26.1,5,1,Gateway unreachable - network failure,network_error,retry_upi,30,recovered
txn_07086,12.25,Utilities,Mastercard,PIN,Contactless,iPhone,275.38,0,24.5,28.8,16,3,Bank server did not respond in time,bank_timeout,no_retry,0,failed_again
txn_14754,13.45,Online Retail,Mastercard,OTP,POS,POS Terminal,1550.32,0,23.5,14.3,20,6,TXN_FAILED: Insufficient balance in account,insufficient_funds,retry_same_card,360,failed_again
txn_04520,239.32,Electronics,Visa,OTP,Online,Mac,1029.84,0,24.0,38.0,11,0,ISO8583 message parsing error,network_error,retry_same_card,0,recovered
txn_03025,62.63,Restaurants,Visa,No Authentication,POS,iPhone,3162.67,0,19.2,32.5,23,5,Transaction blocked - suspicious activity detected,risk_block,retry_same_card,0,recovered
txn_12122,83.04,Online Retail,Mastercard,OTP,Online,Android Phone,2525.68,0,12.0,15.0,19,1,Do Not Honour - Insufficient funds,insufficient_funds,delay_2hr_retry,0,failed_again
txn_18495,11.19,Streaming,RuPay,3D Secure,Online,Mac,1082.74,0,52.7,56.4,8,6,"Card no longer valid, expiry passed",card_expired,retry_upi,0,failed_again
txn_05484,30.03,Groceries,Amex,3D Secure,POS,Android Phone,610.7,1,12.8,45.4,3,6,Gateway unreachable - network failure,network_error,no_retry,120,failed_again
txn_01420,20.02,Groceries,Visa,3D Secure,In-App,Mac,1772.39,0,32.3,37.1,20,3,Do Not Honour - Bank declined due to risk parameters,risk_block,retry_upi,120,failed_again
txn_06210,33.1,Gaming,Visa,Biometric,POS,Android Phone,5186.91,0,22.4,77.0,23,2,"Issuer server not responding, request expired",bank_timeout,retry_upi,120,recovered
txn_10743,19.1,Groceries,Visa,PIN,Online,POS Terminal,1682.8,0,8.5,26.2,9,3,Network error - request could not be completed,network_error,retry_same_card,360,recovered
txn_16144,104.64,Electronics,Visa,OTP,Online,POS Terminal,4301.93,0,16.8,56.2,6,3,Network error - request could not be completed,network_error,retry_same_card,30,recovered
txn_17618,490.46,Electronics,Visa,3D Secure,Online,Smart Watch,12628.34,1,11.8,50.9,3,4,ISO8583 message parsing error,network_error,retry_wallet,0,failed_again
txn_14569,88.27,Groceries,Mastercard,No Authentication,POS,POS Terminal,2103.75,0,13.4,15.3,16,0,OTP verification failed - incorrect code entered,otp_fail,retry_wallet,30,failed_again
txn_00981,14.18,Streaming,RuPay,OTP,POS,Android Phone,8170.23,0,40.7,32.5,11,3,Connection reset before response received,network_error,no_retry,0,failed_again
txn_02784,61.19,Utilities,RuPay,OTP,In-App,Tablet,274.18,1,12.2,24.8,23,4,Card flagged for review - high risk score,risk_block,no_retry,120,failed_again
txn_07714,42.46,Gaming,RuPay,PIN,Contactless,Android Phone,9853.98,0,17.4,71.1,21,0,Card expired - decline code 54,card_expired,retry_upi,120,failed_again
txn_11519,11.41,Fuel,Mastercard,PIN,Online,Mac,746.17,0,20.3,43.3,1,5,Bank server did not respond in time,bank_timeout,no_retry,30,failed_again
txn_08601,157.03,Electronics,Visa,OTP,Online,Windows PC,2857.74,0,7.4,29.2,22,5,Gateway timeout - issuing bank unreachable,bank_timeout,retry_wallet,30,failed_again
txn_11641,28.04,Gaming,Mastercard,OTP,POS,Android Phone,1921.02,0,31.4,46.3,21,1,Decline code 51: Not enough balance,insufficient_funds,no_retry,360,failed_again
txn_18831,144.09,Gaming,Mastercard,3D Secure,Online,Windows PC,4589.24,0,32.5,70.0,9,4,Bank server did not respond in time,bank_timeout,retry_same_card,360,failed_again
txn_12563,118.41,Online Retail,Visa,OTP,Contactless,iPhone,4788.66,0,13.3,17.1,3,5,NPCI: UPI PIN retries exceeded,otp_fail,retry_same_card,120,failed_again
txn_12752,124.62,Gaming,Visa,OTP,Contactless,Smart Watch,2430.83,0,34.5,52.6,10,6,Card expired - decline code 54,card_expired,retry_wallet,30,failed_again
txn_06385,178.32,Groceries,Visa,Biometric,ATM,Android Phone,825.78,0,14.5,19.6,23,6,Available balance too low for this transaction,insufficient_funds,no_retry,0,failed_again
txn_04808,312.87,Online Retail,Discover,OTP,Online,POS Terminal,894.3,0,21.2,46.5,20,6,Gateway timeout - issuing bank unreachable,bank_timeout,no_retry,0,failed_again
txn_06196,10.31,Groceries,Mastercard,3D Secure,Online,Android Phone,2390.98,0,29.3,12.7,12,2,3DS authentication timeout after 30s,otp_fail,delay_2hr_retry,30,failed_again
txn_10649,180.05,Online Retail,Visa,PIN,POS,Android Phone,690.94,0,35.5,23.4,12,2,Transaction blocked - suspicious activity detected,risk_block,retry_wallet,120,failed_again
txn_07568,13.79,Groceries,Mastercard,OTP,POS,ATM Machine,4651.49,0,9.7,52.1,9,1,NPCI: UPI PIN retries exceeded,otp_fail,retry_wallet,30,failed_again
txn_16398,105.53,Travel,Mastercard,OTP,ATM,Tablet,1698.98,2,25.6,33.2,5,6,3DS authentication timeout after 30s,otp_fail,retry_same_card,120,failed_again
txn_17525,52.21,Utilities,Visa,OTP,POS,Android Phone,241.72,0,12.5,36.1,6,4,Available balance too low for this transaction,insufficient_funds,no_retry,30,failed_again
txn_01347,442.83,Gaming,Mastercard,3D Secure,In-App,Android Phone,9384.88,1,14.5,60.4,1,3,Card expired - decline code 54,card_expired,retry_upi,30,failed_again
txn_13125,146.02,Streaming,Mastercard,PIN,Contactless,Android Phone,876.49,0,34.5,7.2,19,3,NPCI: UPI PIN retries exceeded,otp_fail,retry_upi,120,recovered
txn_12674,22.11,Online Retail,Visa,No Authentication,Contactless,iPhone,356.97,0,0.0,33.8,3,4,Available balance too low for this transaction,insufficient_funds,retry_upi,120,failed_again
txn_15456,7.82,Fuel,Amex,3D Secure,Online,POS Terminal,902.87,0,18.6,34.0,16,4,Transaction blocked - suspicious activity detected,risk_block,retry_same_card,360,failed_again
txn_14002,10.31,Online Retail,Discover,OTP,Contactless,Android Phone,3550.83,0,31.8,29.7,9,0,Customer authentication failed - OTP mismatch,otp_fail,retry_upi,30,failed_again
txn_18622,52.63,Restaurants,Discover,OTP,Online,Android Phone,4635.14,0,27.1,48.1,5,2,Customer authentication failed - OTP mismatch,otp_fail,retry_wallet,120,failed_again
txn_02120,49.77,Utilities,Discover,PIN,POS,Smart Watch,2043.08,1,22.0,49.2,17,4,3DS authentication timeout after 30s,otp_fail,retry_upi,0,recovered
txn_15305,24.12,Utilities,Visa,Biometric,Online,Android Phone,3547.79,1,24.4,44.3,19,4,Available balance too low for this transaction,insufficient_funds,retry_wallet,120,recovered
txn_04310,14.38,Online Retail,Visa,Biometric,Online,iPhone,3531.64,0,12.7,25.7,3,6,OTP verification failed - incorrect code entered,otp_fail,retry_wallet,360,failed_again
txn_04485,280.22,Gaming,Visa,3D Secure,Online,iPhone,3192.99,0,20.1,41.6,21,3,Decline code 51: Not enough balance,insufficient_funds,retry_same_card,0,recovered
txn_11014,85.49,Online Retail,Amex,OTP,POS,Android Phone,5283.19,0,9.3,14.7,17,5,Do Not Honour - Bank declined due to risk parameters,risk_block,retry_upi,120,recovered
txn_04771,15.48,Fuel,Mastercard,No Authentication,POS,Android Phone,1613.24,0,6.7,25.5,17,1,"Issuer server not responding, request expired",bank_timeout,retry_wallet,120,recovered
txn_02713,18.53,Online Retail,Discover,Biometric,Contactless,POS Terminal,4502.73,0,0.0,28.3,0,1,Network error - request could not be completed,network_error,delay_2hr_retry,30,recovered
txn_12187,590.91,Utilities,Amex,3D Secure,Online,iPhone,26099.03,0,19.0,47.1,7,6,"Issuer server not responding, request expired",bank_timeout,retry_same_card,30,failed_again
txn_16616,188.98,Online Retail,Visa,PIN,In-App,Windows PC,4428.48,0,0.0,19.4,2,2,Network error - request could not be completed,network_error,retry_wallet,120,failed_again
txn_10948,135.73,Restaurants,Discover,OTP,POS,Windows PC,2516.75,0,32.5,38.5,18,2,TXN_FAILED: Insufficient balance in account,insufficient_funds,retry_wallet,120,failed_again
txn_02546,11.03,Streaming,Mastercard,3D Secure,In-App,POS Terminal,521.19,0,20.7,46.2,15,5,Decline code 51: Not enough balance,insufficient_funds,delay_2hr_retry,120,failed_again
txn_12620,485.1,Electronics,Visa,OTP,Online,Smart Watch,481.91,0,6.3,59.7,19,3,Do Not Honour - Insufficient funds,insufficient_funds,retry_upi,360,recovered
txn_09852,45.38,Fuel,RuPay,3D Secure,Online,iPhone,844.48,0,18.8,29.3,3,2,Available balance too low for this transaction,insufficient_funds,retry_upi,120,failed_again
txn_04411,348.64,Electronics,Mastercard,3D Secure,POS,ATM Machine,4032.2,0,25.7,55.9,22,6,Network error - request could not be completed,network_error,retry_wallet,120,failed_again
txn_19648,247.59,Travel,Mastercard,OTP,POS,POS Terminal,1057.45,0,19.5,29.0,0,4,Connection timeout during authorization,bank_timeout,delay_2hr_retry,360,failed_again
txn_12345,80.88,Healthcare,Mastercard,OTP,Contactless,Smart Watch,486.05,0,21.9,37.8,1,6,ISO8583 message parsing error,network_error,no_retry,360,failed_again
txn_12408,34.03,Healthcare,Visa,OTP,Contactless,Smart Watch,2690.65,0,13.2,10.5,1,2,"Card no longer valid, expiry passed",card_expired,retry_upi,0,failed_again
txn_09611,28.65,Healthcare,Visa,Biometric,Online,ATM Machine,544.13,0,48.3,53.5,20,0,Connection timeout during authorization,bank_timeout,retry_same_card,30,recovered
txn_10719,84.81,Online Retail,Mastercard,No Authentication,POS,Android Phone,1092.72,0,34.2,10.2,14,4,Do Not Honour - Insufficient funds,insufficient_funds,retry_upi,30,failed_again
txn_07572,101.77,Travel,Mastercard,Biometric,Online,iPhone,3167.28,0,0.0,25.3,13,4,Gateway timeout - issuing bank unreachable,bank_timeout,delay_2hr_retry,0,failed_again
txn_03571,54.86,Restaurants,Mastercard,No Authentication,Contactless,ATM Machine,2154.3,0,26.3,58.1,5,6,Do Not Honour - Bank declined due to risk parameters,risk_block,delay_2hr_retry,30,recovered
txn_08603,92.63,Online Retail,Mastercard,OTP,POS,iPhone,1956.38,0,22.7,26.4,13,3,Available balance too low for this transaction,insufficient_funds,delay_2hr_retry,360,recovered
txn_03560,163.0,Groceries,Amex,PIN,Online,Android Phone,1033.48,1,9.1,7.6,19,1,Bank server did not respond in time,bank_timeout,retry_same_card,360,recovered
txn_04992,12.55,Streaming,Visa,OTP,Online,Android Phone,3352.76,0,32.1,48.0,4,6,Transaction blocked - suspicious activity detected,risk_block,retry_upi,360,failed_again
txn_07440,77.38,Online Retail,Visa,PIN,Online,iPhone,453.62,0,37.6,11.1,10,5,Gateway timeout - issuing bank unreachable,bank_timeout,retry_same_card,360,recovered
txn_09326,30.28,Restaurants,RuPay,3D Secure,Online,Android Phone,1790.88,0,20.0,34.1,23,5,"Issuer server not responding, request expired",bank_timeout,no_retry,120,failed_again
txn_02301,11.82,Groceries,Visa,3D Secure,In-App,Tablet,2205.61,0,5.9,54.7,7,4,Do Not Honour - Bank declined due to risk parameters,risk_block,no_retry,360,failed_again
txn_07667,11.12,Groceries,Visa,No Authentication,Contactless,POS Terminal,1377.37,0,52.7,6.1,6,6,Customer authentication failed - OTP mismatch,otp_fail,retry_upi,360,recovered
txn_05805,24.12,Restaurants,Visa,PIN,Contactless,Mac,664.8,0,22.6,30.5,6,3,ISO8583 message parsing error,network_error,retry_wallet,360,failed_again
txn_12023,302.3,Travel,RuPay,OTP,Online,Mac,750.4,0,25.2,67.2,13,4,Connection reset before response received,network_error,delay_2hr_retry,0,recovered
txn_15538,10.08,Gift Cards,Mastercard,OTP,Contactless,POS Terminal,3268.59,0,8.2,54.9,20,6,Do Not Honour - Insufficient funds,insufficient_funds,retry_wallet,120,failed_again
txn_09758,22.93,Fuel,Visa,OTP,Contactless,iPhone,2146.74,0,32.2,44.5,10,2,Bank server did not respond in time,bank_timeout,retry_upi,30,failed_again
txn_12015,48.54,Online Retail,Mastercard,OTP,Online,Smart Watch,3445.22,0,3.3,44.3,3,4,Transaction blocked - suspicious activity detected,risk_block,delay_2hr_retry,30,failed_again
txn_05212,1015.12,Electronics,Discover,3D Secure,In-App,Smart Watch,1116.38,0,15.3,72.2,13,4,Do Not Honour - Insufficient funds,insufficient_funds,retry_same_card,360,recovered
txn_11549,96.66,Utilities,Discover,OTP,Online,ATM Machine,1144.23,0,0.0,24.5,7,1,Gateway unreachable - network failure,network_error,delay_2hr_retry,0,recovered
txn_12367,58.27,Groceries,Mastercard,OTP,ATM,Windows PC,3059.34,0,7.7,36.5,5,2,"Issuer server not responding, request expired",bank_timeout,delay_2hr_retry,0,recovered
txn_09271,95.4,Travel,Amex,OTP,Online,Android Phone,807.58,0,14.7,25.1,10,3,"Card no longer valid, expiry passed",card_expired,delay_2hr_retry,360,failed_again
txn_03976,126.12,Groceries,Visa,PIN,POS,Tablet,6125.56,0,29.8,36.5,3,5,Connection timeout during authorization,bank_timeout,retry_wallet,360,recovered
txn_16091,4.99,Fuel,Visa,OTP,Online,Android Phone,598.37,1,25.2,19.1,19,3,Customer authentication failed - OTP mismatch,otp_fail,no_retry,30,failed_again
txn_17233,101.6,Online Retail,Discover,OTP,Contactless,Android Phone,4109.34,0,23.4,39.9,18,4,Connection reset before response received,network_error,delay_2hr_retry,360,recovered
txn_17444,18.14,Fuel,Amex,OTP,Online,POS Terminal,553.3,0,18.0,47.7,11,4,Connection timeout during authorization,bank_timeout,delay_2hr_retry,30,failed_again
txn_13657,13.44,Groceries,Visa,3D Secure,Online,iPhone,568.65,0,23.6,44.4,22,5,3DS authentication timeout after 30s,otp_fail,no_retry,0,failed_again
txn_15646,33.15,Fuel,Amex,3D Secure,In-App,Windows PC,1407.81,0,13.3,61.1,3,1,NPCI: UPI PIN retries exceeded,otp_fail,retry_same_card,360,recovered
txn_02731,30.14,Groceries,Visa,PIN,POS,Mac,744.84,1,24.2,39.6,22,0,"Issuer server not responding, request expired",bank_timeout,retry_upi,0,failed_again
txn_03299,145.56,Fuel,Mastercard,3D Secure,In-App,iPhone,3436.25,0,29.0,58.3,20,5,Connection timeout during authorization,bank_timeout,retry_upi,360,recovered
txn_08957,54.46,Restaurants,Mastercard,3D Secure,Online,POS Terminal,4388.31,0,35.6,30.2,5,2,Do Not Honour - Bank declined due to risk parameters,risk_block,retry_wallet,360,failed_again
txn_17411,132.53,Online Retail,Visa,Biometric,In-App,ATM Machine,13129.3,0,12.8,58.8,2,1,"Issuer server not responding, request expired",bank_timeout,retry_wallet,0,failed_again
txn_15156,200.13,Online Retail,Visa,No Authentication,Contactless,Android Phone,3404.06,1,20.6,48.5,14,3,Network error - request could not be completed,network_error,retry_wallet,30,recovered
txn_17277,7.78,Restaurants,Visa,OTP,ATM,Android Phone,1519.38,0,0.0,24.5,3,6,TXN_FAILED: Insufficient balance in account,insufficient_funds,retry_same_card,30,failed_again
txn_06704,157.12,Electronics,Mastercard,3D Secure,POS,Android Phone,777.55,0,46.1,43.5,22,4,Transaction blocked - suspicious activity detected,risk_block,retry_same_card,30,failed_again
txn_01969,37.29,Groceries,Visa,No Authentication,POS,iPhone,326.52,0,16.4,30.9,12,1,"Issuer server not responding, request expired",bank_timeout,retry_same_card,30,recovered
txn_04937,71.55,Online Retail,Mastercard,3D Secure,ATM,iPhone,470.33,0,22.5,17.5,12,6,Connection reset before response received,network_error,retry_wallet,30,failed_again
txn_02113,36.21,Groceries,Amex,PIN,POS,ATM Machine,1200.16,1,40.4,26.0,20,6,Network error - request could not be completed,network_error,retry_upi,120,recovered
txn_00879,244.17,Online Retail,Visa,3D Secure,Online,POS Terminal,3052.74,0,17.6,26.7,6,4,Bank server did not respond in time,bank_timeout,retry_wallet,360,recovered
txn_19076,8.53,Gift Cards,Mastercard,3D Secure,Contactless,ATM Machine,13501.28,0,18.3,81.1,19,0,ISO8583 message parsing error,network_error,retry_same_card,30,failed_again
txn_12990,463.77,Travel,Visa,OTP,In-App,ATM Machine,6864.48,0,13.8,18.2,21,3,Connection timeout during authorization,bank_timeout,no_retry,0,failed_again
txn_07278,125.72,Electronics,Mastercard,OTP,Online,POS Terminal,1776.88,0,24.8,42.2,20,1,TXN_FAILED: Insufficient balance in account,insufficient_funds,retry_wallet,360,recovered
txn_05710,197.38,Groceries,Visa,OTP,Online,Windows PC,1760.04,1,48.7,36.3,12,0,TXN_FAILED: Insufficient balance in account,insufficient_funds,no_retry,120,failed_again
txn_12079,11.88,Groceries,Mastercard,Biometric,In-App,iPhone,1205.49,1,11.6,36.9,18,0,"Issuer server not responding, request expired",bank_timeout,delay_2hr_retry,0,recovered
